Amostra,Cellulose,Hemicellulose,Lignin,Solids_Loading,Enzyme_Loading,Time_h,Glucose_Real,Xylose_Real,Cellobiose_Real,Glucose_Pred,Xylose_Pred,Cellobiose_Pred,Glucose_AE,Xylose_AE,Cellobiose_AE,Glucose_RE,Xylose_RE,Cellobiose_RE,Total_AE
11,0.649000,0.092000,0.260000,205.847000,0.071000,96.000000,52.473000,10.538000,2.443000,66.905411,10.406230,2.428774,14.432411,0.131770,0.014226,27.504451,1.250427,0.582331,14.578407
12,0.647000,0.064000,0.289000,247.855000,0.655000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.647000,0.064000,0.289000,247.855000,0.655000,1.000000,36.979000,1.577000,0.822000,34.947372,1.184221,0.760754,2.031628,0.392779,0.061246,5.494004,24.906697,7.450889,2.485652
14,0.647000,0.064000,0.289000,247.855000,0.655000,2.000000,48.304000,2.331000,1.089000,46.808735,2.209409,1.139530,1.495265,0.121591,0.050530,3.095531,5.216249,4.640075,1.667386
15,0.647000,0.064000,0.289000,247.855000,0.655000,4.000000,61.635000,3.392000,1.386000,54.247272,3.295706,1.409242,7.387728,0.096294,0.023242,11.986254,2.838855,1.676906,7.507263
16,0.647000,0.064000,0.289000,247.855000,0.655000,6.000000,70.269000,4.184000,1.557000,59.593082,4.125324,1.598730,10.675918,0.058676,0.041730,15.192927,1.402395,2.680137,10.776324
17,0.647000,0.064000,0.289000,247.855000,0.655000,8.000000,76.710000,4.828000,1.668000,63.509331,4.557261,1.714926,13.200669,0.270739,0.046926,17.208538,5.607685,2.813317,13.518334
18,0.647000,0.064000,0.289000,247.855000,0.655000,12.000000,86.147000,5.855000,1.795000,71.872826,5.547496,1.989355,14.274174,0.307504,0.194355,16.569555,5.251992,10.827575,14.776034
19,0.647000,0.064000,0.289000,247.855000,0.655000,24.000000,102.886000,7.894000,1.868000,92.721245,9.487040,2.485087,10.164755,1.593040,0.617087,9.879629,20.180385,33.034619,12.374881
20,0.647000,0.064000,0.289000,247.855000,0.655000,48.000000,119.687000,10.146000,1.662000,109.721306,13.449985,2.618057,9.965694,3.303985,0.956057,8.326463,32.564405,57.524504,14.225736
21,0.647000,0.064000,0.289000,247.855000,0.655000,72.000000,129.157000,11.459000,1.394000,119.877213,13.930645,2.321469,9.279787,2.471645,0.927469,7.184889,21.569465,66.532932,12.678902
22,0.647000,0.064000,0.289000,247.855000,0.655000,96.000000,135.558000,12.349000,1.155000,129.575623,14.482347,1.770683,5.982377,2.133347,0.615683,4.413150,17.275468,53.305861,8.731408
23,0.619000,0.135000,0.246000,105.425000,0.429000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,0.619000,0.135000,0.246000,105.425000,0.429000,1.000000,6.956000,4.063000,0.483000,3.263804,2.590783,0.363267,3.692196,1.472217,0.119733,53.079302,36.234737,24.789385,5.284146
25,0.619000,0.135000,0.246000,105.425000,0.429000,2.000000,8.903000,5.932000,0.682000,4.868213,4.884706,0.566546,4.034787,1.047294,0.115454,45.319407,17.654982,16.928806,5.197535
26,0.619000,0.135000,0.246000,105.425000,0.429000,4.000000,11.530000,8.032000,0.926000,9.844411,8.862880,0.910720,1.685589,0.830880,0.015280,14.619160,10.344618,1.650083,2.531749
27,0.619000,0.135000,0.246000,105.425000,0.429000,6.000000,13.533000,9.251000,1.079000,11.512707,9.698706,1.044331,2.020293,0.447706,0.034669,14.928643,4.839538,3.213083,2.502668
28,0.619000,0.135000,0.246000,105.425000,0.429000,8.000000,15.234000,10.071000,1.183000,13.536218,10.281013,1.152883,1.697782,0.210013,0.030117,11.144692,2.085329,2.545831,1.937913
29,0.619000,0.135000,0.246000,105.425000,0.429000,12.000000,18.115000,11.133000,1.307000,17.286800,11.239961,1.384495,0.828200,0.106961,0.077495,4.571900,0.960753,5.929256,1.012656
30,0.619000,0.135000,0.246000,105.425000,0.429000,24.000000,24.635000,12.633000,1.372000,24.113024,12.007139,1.540509,0.521976,0.625861,0.168509,2.118840,4.954174,12.282005,1.316346
31,0.619000,0.135000,0.246000,105.425000,0.429000,48.000000,33.299000,13.743000,1.134000,34.326180,13.304589,1.082824,1.027180,0.438411,0.051176,3.084716,3.190066,4.512907,1.516767
32,0.619000,0.135000,0.246000,105.425000,0.429000,72.000000,39.092000,14.240000,0.866000,41.405090,13.580817,0.766285,2.313090,0.659183,0.099715,5.917043,4.629093,11.514393,3.071988
33,0.619000,0.135000,0.246000,105.425000,0.429000,96.000000,43.303000,14.537000,0.659000,44.087139,13.518379,0.688574,0.784139,1.018621,0.029574,1.810819,7.007091,4.487684,1.832334
34,0.615000,0.105000,0.279000,87.555000,0.533000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,0.615000,0.105000,0.279000,87.555000,0.533000,1.000000,9.360000,2.141000,0.365000,6.416478,1.701205,0.369870,2.943522,0.439795,0.004870,31.447888,20.541552,1.334118,3.388186
36,0.615000,0.105000,0.279000,87.555000,0.533000,2.000000,12.081000,3.163000,0.473000,10.057744,2.752571,0.483383,2.023256,0.410429,0.010383,16.747421,12.975930,2.195131,2.444068
37,0.615000,0.105000,0.279000,87.555000,0.533000,4.000000,15.531000,4.395000,0.566000,15.036052,4.249784,0.589158,0.494948,0.145216,0.023158,3.186841,3.304108,4.091519,0.663322
38,0.615000,0.105000,0.279000,87.555000,0.533000,6.000000,17.984000,5.166000,0.598000,17.572926,4.996895,0.580397,0.411074,0.169105,0.017603,2.285779,3.273416,2.943604,0.597782
39,0.615000,0.105000,0.279000,87.555000,0.533000,8.000000,19.954000,5.712000,0.603000,20.102160,5.746285,0.572272,0.148160,0.034285,0.030728,0.742505,0.600227,5.095834,0.213172
40,0.615000,0.105000,0.279000,87.555000,0.533000,12.000000,23.077000,6.456000,0.578000,23.685505,6.623383,0.501189,0.608505,0.167383,0.076811,2.636846,2.592667,13.289081,0.852698
