Time,Cellulose (C),Cellobiose (G2),Glucose (G),Hemicellulose (H),Xylose (X)
0.0,1.0,0.0,0.0,1.0,0.0
0.10101010101010101,0.8174605569780742,0.010182711070789295,0.1920909592517564,0.13142412526598948,0.9867021936978358
0.20202020202020202,0.7617719882819949,0.012189668780379968,0.25185335649619106,0.03307576847745311,1.098425927009613
0.30303030303030304,0.718038549429854,0.012497387247927772,0.30012157362040326,0.009792607518500179,1.1248755978589835
0.40404040404040403,0.6802657068204485,0.012079570531292215,0.34253082277622016,0.003172801214680359,1.1323956978201228
0.5050505050505051,0.6466804647108534,0.01132826865552052,0.38063828871018573,0.0010975513606477055,1.134753181654304
0.6060606060606061,0.6164394835532125,0.010442631635592895,0.4151713334672554,0.0004008919495451936,1.1355445867453162
0.7070707070707071,0.5890048805501442,0.009530705986476712,0.44661384958791833,0.00015350769479511228,1.1358256152587123
0.8080808080808081,0.5639782522800908,0.008650555587439738,0.4753473788704137,6.136956042833468e-05,1.1359302841793528
0.9090909090909091,0.5410435978164702,0.007831316510928096,0.5016923616153264,2.5817786560577386e-05,1.1359706709944668
1.0101010101010102,0.5199418323689251,0.007085277460057056,0.5259237352912821,1.1013618471808934e-05,1.1359874885294157
1.1111111111111112,0.5004568966197841,0.006415029329872477,0.5482788410298411,5.04933048994421e-06,1.135994263960563
1.2121212121212122,0.48240633792310733,0.0058177851698426025,0.5689633406597422,2.1980928876877597e-06,1.135997502966479
1.3131313131313131,0.46563479165694804,0.005288337470323205,0.5881553460964926,1.2597762505711181e-06,1.135998568894179
1.4141414141414141,0.4500086951483457,0.004819443095006109,0.6060108877180108,5.110835969231895e-07,1.1359994194090335
1.5151515151515151,0.43541331574592695,0.004405110943799591,0.6226637547999007,1.9892992502977907e-07,1.1359997740156047
1.6161616161616161,0.4217484274886369,0.004039369543969923,0.6382315971292546,2.485343640658142e-07,1.1359997176649619
1.7171717171717171,0.4089264704737472,0.0037143009141312605,0.6528200405674678,1.57745920175688e-07,1.1359998208006343
1.8181818181818181,0.3968709407893894,0.003423578448630349,0.666520750692451,-4.720840014499968e-09,1.1360000053628738
1.9191919191919191,0.38551497177635047,0.0031663713906131506,0.6794088978153885,-5.338767398034752e-08,1.1360000606483973
2.0202020202020203,0.374798541239176,0.0029397246030681634,0.6915542842426973,2.6691154047965186e-08,1.1359999696788485
2.121212121212121,0.36466815676460446,0.0027377830237028844,0.7030225105793017,1.3123590038098963e-07,1.1359998509160167
2.2222222222222223,0.3550766713408514,0.002552780773460121,0.7138741390672053,8.922020643644154e-08,1.135999898645845
2.323232323232323,0.34598190346048563,0.0023841677789168364,0.7241566164955892,2.1896236095733102e-08,1.1359999751258754
2.4242424242424243,0.3373462154993054,0.0022329079850644897,0.7339107466589142,-6.474494369471564e-09,1.1360000073550252
2.525252525252525,0.3291353320783529,0.002097905567639665,0.7431757664919865,9.213622639361457e-09,1.1359999895333242
2.6262626262626263,0.3213181936216109,0.0019763018576947084,0.7519891961232678,4.360947769614918e-08,1.1359999504596328
2.727272727272727,0.3138669402844301,0.0018635689714868223,0.7603867581398429,4.3293591093192546e-08,1.1359999508184802
2.8282828282828283,0.30675631659522334,0.0017582882453020695,0.76839800740404,2.057925812796106e-08,1.1359999766219624
2.929292929292929,0.2999634846658069,0.0016620005366580566,0.7760466962337457,5.9998128281744605e-09,1.1359999931842122
3.0303030303030303,0.29346750219838363,0.0015748187604231914,0.7833559743907127,2.7763920585824765e-09,1.1359999968460182
3.131313131313131,0.2872490908663928,0.0014957978699688314,0.7903482568436732,8.393415524474388e-09,1.1359999904650795
3.2323232323232323,0.28129063631450957,0.0014229348571692811,0.7970452237683391,1.4598585771678859e-08,1.1359999834160062
3.3333333333333335,0.2755761303082332,0.0013535911109787489,0.8034674400812748,1.0781500235518821e-08,1.1359999877522153
3.4343434343434343,0.27009079935889624,0.001288269635702843,0.8096307906637943,5.561470989240775e-09,1.1359999936821685
3.5353535353535355,0.2648211587706388,0.0012279823264489413,0.8155491925708156,2.3200649388254122e-09,1.135999997364406
3.6363636363636362,0.2597546644351265,0.001172901680524179,0.8212364016683629,1.4140422875085178e-09,1.1359999983936475
3.7373737373737375,0.2548796630684407,0.001122512079785865,0.8267059086248691,2.3036949557321084e-09,1.1359999973830022
3.8383838383838382,0.25018539221107805,0.0010756097906414821,0.8319709389111755,3.5528465811444936e-09,1.135999995963966
3.9393939393939394,0.24566196818685548,0.0010303971085932008,0.837044367045064,3.0347494290367265e-09,1.1359999965525243
4.040404040404041,0.2413001745093095,0.000986897543298803,0.8419364085010946,1.8427840189222228e-09,1.135999997906597
4.141414141414141,0.2370915190012266,0.000946163457836692,0.8466553906022815,9.819092035475164e-10,1.1359999988845508
4.242424242424242,0.2330280640114355,0.0009085980744418463,0.8512097080925753,5.430524218018468e-10,1.135999999383092
4.343434343434343,0.22910236088934557,0.0008741322094581216,0.8556077098396123,4.934478452639509e-10,1.1359999994394427
4.444444444444445,0.22530744998494698,0.0008422242733382502,0.8598576988347137,6.766363782020264e-10,1.1359999992313408
4.545454545454545,0.22163686064881055,0.0008118602706438413,0.8639679321928857,8.124656575737431e-10,1.1359999990770386
4.646464646464646,0.21808458562890098,0.0007818372153429847,0.8679463511638015,6.167400889599669e-10,1.1359999992993828
4.747474747474747,0.2146449579839781,0.0007528037925736164,0.8717985690746234,3.97939202567345e-10,1.1359999995479406
4.848484848484849,0.21131272426476078,0.0007255128101142907,0.8755296301885654,2.4018182687188993e-10,1.135999999727153
