Experimento,Temperatura (°C),Tempo (min),Porc Etanol (%),Celulose,Hemicelulose,Lignina Total,Cinzas,Rendimento (%)  
1,150.0,30.0,30.0,48.1,24.8,21.6,2.1,80.7  
2,150.0,30.0,50.0,49.1,26.4,21.2,3.1,76.8  
3,150.0,30.0,70.0,47.2,26.9,21.0,4.1,82.2  
4,170.0,60.0,30.0,73.9,10.5,14.8,1.9,50.7  
5,170.0,60.0,50.0,65.1,17.9,12.0,2.1,59.3  
6,170.0,60.0,70.0,53.0,22.6,17.7,5.3,72.5  
7,190.0,90.0,30.0,79.3,30.4,11.8,5.5,45.9  
8,190.0,90.0,50.0,82.0,6.7,5.5,5.0,46.8  
9,190.0,90.0,70.0,70.8,14.3,8.8,5.9,54.1
